"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 13:12:06 UTC 2024","Wed Jan 17 13:12:06 UTC 2024","661","firefox","example.spec.js","","","","get started link",""
"passed","Wed Jan 17 13:12:02 UTC 2024","Wed Jan 17 13:12:02 UTC 2024","490","chromium","example.spec.js","","","","get started link",""
"passed","Wed Jan 17 13:12:03 UTC 2024","Wed Jan 17 13:12:06 UTC 2024","2766","firefox","example.spec.js","","","","has title",""
"passed","Wed Jan 17 13:11:58 UTC 2024","Wed Jan 17 13:12:02 UTC 2024","4389","chromium","example.spec.js","","","","has title",""
"passed","Wed Jan 17 13:12:08 UTC 2024","Wed Jan 17 13:12:18 UTC 2024","10247","webkit","example.spec.js","","","","has title",""
"passed","Wed Jan 17 13:12:18 UTC 2024","Wed Jan 17 13:12:19 UTC 2024","1058","webkit","example.spec.js","","","","get started link",""
